,SONDAWS50,NASAWS50
2006-01-01 00:00:00,7.95,6.99
2006-01-01 01:00:00,7.05,6.82
2006-01-01 02:00:00,5.85,6.67
2006-01-01 03:00:00,4.0,6.63
2006-01-01 04:00:00,4.47,7.06
2006-01-01 05:00:00,4.78,7.4
2006-01-01 06:00:00,4.33,7.44
2006-01-01 07:00:00,5.05,9.6
2006-01-01 08:00:00,3.98,9.97
2006-01-01 09:00:00,2.94,9.09
2006-01-01 10:00:00,4.27,8.29
2006-01-01 11:00:00,5.72,7.8
2006-01-01 12:00:00,6.45,7.44
2006-01-01 13:00:00,6.79,7.25
2006-01-01 14:00:00,6.93,7.31
2006-01-01 15:00:00,6.95,7.55
2006-01-01 16:00:00,6.27,7.88
2006-01-01 17:00:00,6.56,8.37
2006-01-01 18:00:00,6.91,8.81
2006-01-01 19:00:00,8.05,8.72
2006-01-01 20:00:00,6.89,8.54
2006-01-01 21:00:00,5.67,8.44
2006-01-01 22:00:00,7.39,8.08
2006-01-01 23:00:00,7.96,7.22
2006-01-02 00:00:00,8.56,6.94
2006-01-02 01:00:00,7.76,6.74
2006-01-02 02:00:00,6.79,6.61
2006-01-02 03:00:00,6.54,6.45
2006-01-02 04:00:00,6.04,6.18
2006-01-02 05:00:00,4.39,6.36
2006-01-02 06:00:00,4.2,6.22
2006-01-02 07:00:00,3.3,7.31
2006-01-02 08:00:00,2.82,7.41
2006-01-02 09:00:00,3.63,6.85
2006-01-02 10:00:00,5.04,6.35
2006-01-02 11:00:00,5.19,5.82
2006-01-02 12:00:00,5.14,5.44
2006-01-02 13:00:00,4.27,5.45
2006-01-02 14:00:00,3.95,5.78
2006-01-02 15:00:00,3.52,6.19
2006-01-02 16:00:00,4.31,6.69
2006-01-02 17:00:00,3.82,7.53
2006-01-02 18:00:00,3.92,8.47
2006-01-02 19:00:00,5.92,8.69
2006-01-02 20:00:00,8.19,8.59
2006-01-02 21:00:00,8.51,8.18
2006-01-02 22:00:00,7.75,7.49
2006-01-02 23:00:00,6.89,7.02
2006-01-03 00:00:00,6.71,7.14
2006-01-03 01:00:00,5.82,7.0
2006-01-03 02:00:00,6.85,6.43
2006-01-03 03:00:00,6.31,5.96
2006-01-03 04:00:00,5.64,5.55
2006-01-03 05:00:00,4.87,5.31
2006-01-03 06:00:00,4.02,5.25
2006-01-03 07:00:00,2.33,6.51
2006-01-03 08:00:00,3.16,6.6
2006-01-03 09:00:00,4.03,6.14
2006-01-03 10:00:00,5.42,5.57
2006-01-03 11:00:00,4.94,5.04
2006-01-03 12:00:00,5.08,4.76
2006-01-03 13:00:00,5.21,4.81
2006-01-03 14:00:00,4.88,5.14
2006-01-03 15:00:00,4.78,5.66
2006-01-03 16:00:00,3.76,6.61
2006-01-03 17:00:00,4.53,7.99
2006-01-03 18:00:00,4.36,9.0
2006-01-03 19:00:00,7.66,9.42
2006-01-03 20:00:00,9.05,9.44
2006-01-03 21:00:00,8.4,8.58
2006-01-03 22:00:00,8.27,7.64
2006-01-03 23:00:00,8.4,6.91
2006-01-04 00:00:00,7.56,6.67
2006-01-04 01:00:00,7.43,6.55
2006-01-04 02:00:00,7.2,6.41
2006-01-04 03:00:00,7.83,6.3
2006-01-04 04:00:00,5.18,6.4
2006-01-04 05:00:00,4.32,6.56
2006-01-04 06:00:00,4.11,6.66
2006-01-04 07:00:00,5.03,8.15
2006-01-04 08:00:00,4.98,8.09
2006-01-04 09:00:00,5.18,7.86
2006-01-04 10:00:00,6.23,7.7
2006-01-04 11:00:00,7.43,7.69
2006-01-04 12:00:00,7.26,7.96
2006-01-04 13:00:00,7.74,8.34
2006-01-04 14:00:00,7.44,8.73
2006-01-04 15:00:00,7.3,9.16
2006-01-04 16:00:00,7.21,9.58
2006-01-04 17:00:00,7.26,9.89
2006-01-04 18:00:00,7.28,9.84
2006-01-04 19:00:00,8.22,8.74
2006-01-04 20:00:00,7.7,8.3
2006-01-04 21:00:00,8.67,8.34
2006-01-04 22:00:00,9.48,7.92
2006-01-04 23:00:00,9.68,7.5
2006-01-05 00:00:00,6.98,7.14
2006-01-05 01:00:00,5.72,6.58
2006-01-05 02:00:00,4.83,6.44
2006-01-05 03:00:00,4.43,6.69
2006-01-05 04:00:00,4.14,6.91
2006-01-05 05:00:00,4.8,6.95
2006-01-05 06:00:00,4.1,7.07
2006-01-05 07:00:00,2.84,8.77
2006-01-05 08:00:00,2.26,9.04
2006-01-05 09:00:00,4.01,8.8
2006-01-05 10:00:00,6.13,8.58
2006-01-05 11:00:00,7.1,8.42
2006-01-05 12:00:00,7.69,8.41
2006-01-05 13:00:00,6.67,8.63
2006-01-05 14:00:00,6.6,9.06
2006-01-05 15:00:00,6.7,9.59
2006-01-05 16:00:00,6.16,10.09
2006-01-05 17:00:00,6.6,10.46
2006-01-05 18:00:00,7.16,10.43
2006-01-05 19:00:00,7.79,9.76
2006-01-05 20:00:00,8.32,9.12
2006-01-05 21:00:00,8.11,8.44
2006-01-05 22:00:00,8.43,7.7
2006-01-05 23:00:00,8.13,7.23
2006-01-06 00:00:00,7.44,6.45
2006-01-06 01:00:00,6.08,6.06
2006-01-06 02:00:00,4.26,5.8
